Employee_ID,First_Name,Last_Name,Age,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region
EMP1000,Bob,Davis,25.0,Active,2021-04-02,59767.65,bob.davis@example.com,(165) 162-3197,Average,True,DevOps,California
EMP1001,Bob,Brown,35.0,Active,2020-07-10,65304.66,bob.brown@example.com,(189) 847-1390,Excellent,True,Finance,Texas
EMP1002,Alice,Jones,30.0,Pending,2023-12-07,88145.9,alice.jones@example.com,(559) 636-3211,Good,True,Admin,Nevada
EMP1003,Eva,Davis,25.0,Inactive,2021-11-27,69450.99,eva.davis@example.com,(347) 649-0784,Good,True,Admin,Nevada
EMP1004,Frank,Williams,25.0,Active,2022-01-05,109324.61,frank.williams@example.com,(158) 673-4256,Poor,False,Cloud Tech,Florida
EMP1005,Alice,Garcia,40.0,Inactive,2020-06-10,88642.84,alice.garcia@example.com,(540) 900-3485,Good,False,Sales,Texas
EMP1006,Frank,Jones,30.0,Active,2020-04-03,96288.43,frank.jones@example.com,(451) 837-6063,Good,False,Admin,Nevada
EMP1007,Bob,Jones,30.0,Inactive,2022-07-17,94497.91,bob.jones@example.com,(413) 432-7559,Average,True,Cloud Tech,Florida
EMP1008,Frank,Davis,35.0,Inactive,2023-12-08,115565.82,frank.davis@example.com,(417) 765-6123,Excellent,True,Admin,Nevada
EMP1009,Charlie,Johnson,32.5,Active,2022-08-04,76561.88,charlie.johnson@example.com,(815) 698-5699,Excellent,True,DevOps,New York
EMP1010,David,Williams,35.0,Active,2024-07-06,72081.71,david.williams@example.com,(272) 063-4590,Average,False,Cloud Tech,New York
EMP1011,David,Davis,32.5,Active,2023-09-04,84946.19,david.davis@example.com,(123) 829-6576,Poor,True,DevOps,California
EMP1012,Heidi,Williams,30.0,Active,2024-03-05,89295.77,heidi.williams@example.com,(242) 954-3164,Excellent,False,HR,New York
EMP1013,Grace,Williams,35.0,Active,2020-10-10,85666.84,grace.williams@example.com,(266) 930-0892,Good,False,Finance,California
EMP1014,Alice,Garcia,25.0,Active,2024-06-10,97633.68,alice.garcia@example.com,(173) 420-6968,Excellent,True,Admin,Nevada
EMP1015,Grace,Jones,40.0,Pending,2021-05-29,117975.49,grace.jones@example.com,(421) 529-1085,Good,True,Sales,Florida
EMP1016,Alice,Brown,25.0,Inactive,2024-04-23,94867.33,alice.brown@example.com,(771) 333-4475,Poor,False,DevOps,Illinois
EMP1017,Grace,Garcia,30.0,Pending,2024-11-28,100377.65,grace.garcia@example.com,(263) 934-3625,Average,True,Finance,Texas
EMP1018,Charlie,Garcia,30.0,Inactive,2024-09-19,94726.46,charlie.garcia@example.com,(204) 439-7358,Excellent,False,Cloud Tech,Nevada
EMP1019,Charlie,Williams,35.0,Pending,2020-01-02,91926.12,charlie.williams@example.com,(710) 725-6365,Average,True,Admin,Illinois
EMP1020,Bob,Miller,35.0,Active,2021-05-08,111460.67,bob.miller@example.com,(941) 180-0536,Excellent,True,HR,New York
EMP1021,Bob,Jones,40.0,Active,2020-09-19,96182.56,bob.jones@example.com,(599) 004-8963,Good,False,Cloud Tech,Illinois
EMP1022,Charlie,Johnson,35.0,Inactive,2021-03-09,115023.94,charlie.johnson@example.com,(652) 809-2427,Average,True,Sales,Illinois
EMP1023,David,Garcia,35.0,Pending,2022-02-03,80667.01,david.garcia@example.com,(757) 215-8623,Excellent,False,Finance,Nevada
EMP1024,Bob,Brown,30.0,Inactive,2020-02-13,91181.61,bob.brown@example.com,(150) 274-5643,Good,True,Admin,Texas
